,ID,Datetime,Count
0,0,25-08-2012 00:00,8.0
1,1,25-08-2012 01:00,2.0
2,2,25-08-2012 02:00,6.0
3,3,25-08-2012 03:00,2.0
4,4,25-08-2012 04:00,2.0
5,5,25-08-2012 05:00,2.0
6,6,25-08-2012 06:00,2.0
7,7,25-08-2012 07:00,2.0
8,8,25-08-2012 08:00,6.0
9,9,25-08-2012 09:00,2.0
10,10,25-08-2012 10:00,2.0
11,11,25-08-2012 11:00,6.0
12,12,25-08-2012 12:00,4.0
13,13,25-08-2012 13:00,2.0
14,14,25-08-2012 14:00,6.0
15,15,25-08-2012 15:00,2.0
16,16,25-08-2012 16:00,2.0
17,17,25-08-2012 17:00,2.0
18,18,25-08-2012 18:00,2.0
19,19,25-08-2012 19:00,2.0
20,20,25-08-2012 20:00,2.0
21,21,25-08-2012 21:00,6.0
22,22,25-08-2012 22:00,2.0
23,23,25-08-2012 23:00,2.0
24,24,26-08-2012 00:00,4.0
25,25,26-08-2012 01:00,6.0
26,26,26-08-2012 02:00,2.0
27,27,26-08-2012 03:00,4.0
28,28,26-08-2012 04:00,2.0
29,29,26-08-2012 05:00,2.0
30,30,26-08-2012 06:00,2.0
31,31,26-08-2012 07:00,2.0
32,32,26-08-2012 08:00,2.0
33,33,26-08-2012 09:00,4.0
34,34,26-08-2012 10:00,2.0
35,35,26-08-2012 11:00,2.0
36,36,26-08-2012 12:00,8.0
37,37,26-08-2012 13:00,6.0
38,38,26-08-2012 14:00,6.0
39,39,26-08-2012 15:00,6.0
40,40,26-08-2012 16:00,2.0
41,41,26-08-2012 17:00,4.0
42,42,26-08-2012 18:00,4.0
43,43,26-08-2012 19:00,4.0
44,44,26-08-2012 20:00,2.0
45,45,26-08-2012 21:00,2.0
46,46,26-08-2012 22:00,4.0
47,47,26-08-2012 23:00,6.0
48,48,27-08-2012 00:00,6.0
49,49,27-08-2012 01:00,2.0
50,50,27-08-2012 02:00,2.0
51,51,27-08-2012 03:00,2.0
52,52,27-08-2012 04:00,2.0
53,53,27-08-2012 05:00,2.0
54,54,27-08-2012 06:00,4.0
55,55,27-08-2012 07:00,2.0
56,56,27-08-2012 08:00,2.0
57,57,27-08-2012 09:00,2.0
58,58,27-08-2012 10:00,2.0
59,59,27-08-2012 11:00,2.0
60,60,27-08-2012 12:00,2.0
61,61,27-08-2012 13:00,2.0
62,62,27-08-2012 14:00,2.0
63,63,27-08-2012 15:00,4.0
64,64,27-08-2012 16:00,2.0
65,65,27-08-2012 17:00,2.0
66,66,27-08-2012 18:00,4.0
67,67,27-08-2012 19:00,2.0
68,68,27-08-2012 20:00,4.0
69,69,27-08-2012 21:00,2.0
70,70,27-08-2012 22:00,2.0
71,71,27-08-2012 23:00,4.0
72,72,28-08-2012 00:00,2.0
73,73,28-08-2012 01:00,2.0
74,74,28-08-2012 02:00,2.0
75,75,28-08-2012 03:00,2.0
76,76,28-08-2012 04:00,2.0
77,77,28-08-2012 05:00,2.0
78,78,28-08-2012 06:00,2.0
79,79,28-08-2012 07:00,2.0
80,80,28-08-2012 08:00,4.0
81,81,28-08-2012 09:00,4.0
82,82,28-08-2012 10:00,2.0
83,83,28-08-2012 11:00,2.0
84,84,28-08-2012 12:00,2.0
85,85,28-08-2012 13:00,2.0
86,86,28-08-2012 14:00,2.0
87,87,28-08-2012 15:00,2.0
88,88,28-08-2012 16:00,2.0
89,89,28-08-2012 17:00,4.0
90,90,28-08-2012 18:00,2.0
91,91,28-08-2012 19:00,2.0
92,92,28-08-2012 20:00,2.0
93,93,28-08-2012 21:00,4.0
94,94,28-08-2012 22:00,4.0
95,95,28-08-2012 23:00,2.0
96,96,29-08-2012 00:00,4.0
97,97,29-08-2012 01:00,6.0
98,98,29-08-2012 02:00,2.0
99,99,29-08-2012 03:00,2.0
100,100,29-08-2012 04:00,2.0
101,101,29-08-2012 05:00,2.0
102,102,29-08-2012 06:00,2.0
103,103,29-08-2012 07:00,2.0
104,104,29-08-2012 08:00,2.0
